title,Year,Rating,Poster,IMDB Link,Notes
The Shawshank Redemption,1994,9.3,https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0111161/,
The Godfather,1972,9.2,https://m.media-amazon.com/images/M/MV5BYTJkNGQyZDgtZDQ0NC00MDM0LWEzZWQtYzUzZDEwMDljZWNjXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0068646/,
The Dark Knight,2008,9.0,https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_SX300.jpg,https://www.imdb.com/title/tt0468569/,
The Godfather Part II,1974,9.0,https://m.media-amazon.com/images/M/MV5BNzc1OWY5MjktZDllMi00ZDEzLWEwMGItYjk1YmRhYjBjNTVlXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0071562/,
12 Angry Men,1957,9.0,https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0050083/,
The Lord of the Rings: The Return of the King,2003,9.0,https://m.media-amazon.com/images/M/MV5BMTZkMjBjNWMtZGI5OC00MGU0LTk4ZTItODg2NWM3NTVmNWQ4XkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0167260/,
Schindler's List,1993,9.0,https://m.media-amazon.com/images/M/MV5BNjM1ZDQxYWUtMzQyZS00MTE1LWJmZGYtNGUyNTdlYjM3ZmVmXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0108052/,
Pulp Fiction,1994,8.9,https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0110912/,
The Lord of the Rings: The Fellowship of the Ring,2001,8.9,https://m.media-amazon.com/images/M/MV5BNzIxMDQ2YTctNDY4MC00ZTRhLTk4ODQtMTVlOWY4NTdiYmMwXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0120737/,
"The Good, the Bad and the Ugly",1966,8.8,https://m.media-amazon.com/images/M/MV5BMWM5ZjQxM2YtNDlmYi00ZDNhLWI4MWUtN2VkYjBlMTY1ZTkwXkEyXkFqcGc@._V1_SX300.jpg,https://www.imdb.com/title/tt0060196/,
